tool_type,title,created,updated,custodian,author,description,subject_area,support_name,sql_query,database_name,uw_profile
Report,How Many Students By College,12/10/2015,12/12/2004,University Registrar and Chief Officer of Enrollment Information Services,"Gordon Moll, Ann Wunderlin","Displays a graph of the unduplicated headcount by College or School as of Census Day for a specified quarter for the past ten years. Excluded from these counts are foreign study students, on leave students, and students who register for the first time after Census Day. Useful for trend analysis. Required parameters are quarter and college.",Financial Resources,Enrollment Information Services,"SELECT AcctngMonth, SUM(DebitSumAmt) AS Debit, SUM(CreditSumAmt) AS Credit FROM GLDataMart.sec.TransGLSummary WHERE (GLAccountCode = '1160') AND (BienniumYear =@BienniumYear) GROUP BY AcctngMonth ORDER BY AcctngMonth",EDWAdminMart,No
Report,How Many Students at the University,7/9/2019,7/11/2008,University Registrar and Chief Officer of Enrollment Information Services,"Gordon Moll, Ann Wunderlin","Displays a graph of the unduplicated headcount of students at the University of Washington (all campuses) as of Census Day for a specified quarter for the past ten years. Excluded from these counts are foreign study students, on leave students, and students who register for the first time after Census Day. Useful for trend analysis. Required parameter is quarter",Financial Resources,Enrollment Information Services,"SELECT rao.FACILITY_CODE FacilityCode, rao.ROOM_NUMBER RoomNumber, rao.ORGANIZATION assignee_organization, rao.EMPLOYEE_ID assignee_eid, rao.Occupant_EID, ISNULL(s_occup.Name, 'n/a') Occupant_Name FROM dbo.room_assignment_occupant rao LEFT JOIN dbo.Person s_occup ON s_occup.IdNbr = rao.occupant_eid WHERE rao.FACILITY_CODE = @facilitycode AND rao.ROOM_NUMBER = @roomno AND rao.ORGANIZATION = @assignorg AND rao.EMPLOYEE_ID = @empid",EDWAdminMart,No
Report,How Many Credit Hours Are Being Taught,7/10/2023,7/12/2012,University Registrar and Chief Officer of Enrollment Information Services,"Gordon Moll, Ann Wunderlin",Displays a graph of total credit hours taught by quarter by college for the last ten years. Useful for trend analysis. Required parameters are quarter and college.,Financial Resources,Enrollment Information Services,"SELECT YEAR(P.PayPeriodEndDate) AS PayYear, MONTH(P.PayPeriodEndDate) AS PayMonth, P.PayPeriodEndDate AS PaycycleEndDate, SUM(P.NetPayAmt) AS HeppsPayrollSum, CASE WHEN S.StateFiscalMonth < 10 THEN '0' + S.StateFiscalMonth ELSE S.StateFiscalMonth END AS StateFiscalMonth, -- used in subreport param SUBSTRING(S.StateFiscalBiennium, 1, 4) AS FisBien -- used in subreport param FROM ODS.sec.StandardTimeDimension AS S INNER JOIN ODS.sec.PayrollResultSummary AS P ON S.CalendarDate = P.PayPeriodEndDate GROUP BY YEAR(P.PayPeriodEndDate), MONTH(P.PayPeriodEndDate), P.PayPeriodEndDate, S.StateFiscalMonth, SUBSTRING(S.StateFiscalBiennium, 1, 4) ORDER BY P.PayPeriodEndDate",EDWAdminMart,No
Report,How Many Students By Department,8/3/2027,8/5/2016,University Registrar and Chief Officer of Enrollment Information Services,"Gordon Moll, Ann Wunderlin","Displays a graph of the unduplicated headcount by department as of Census Day for a specified quarter for the past ten years. Excluded from these counts are foreign study students, on leave students, and students who register for the first time after Census Day. Required parameters are quarter, college, and department.",Financial Resources,Enrollment Information Services,"SELECT ts.ts_year ,ts.ts_quarter ,yrqtr = CAST(ts.ts_year AS char(4)) + CAST(ts.ts_quarter AS char(1)) ,Qtr_desc = CASE WHEN ts.ts_quarter = 1 THEN 'Winter ' + CAST(ts.ts_year AS char(4)) WHEN ts.ts_quarter = 2 THEN 'Spring ' + CAST(ts.ts_year AS char(4)) WHEN ts.ts_quarter = 3 THEN 'Summer ' + CAST(ts.ts_year AS char(4)) WHEN ts.ts_quarter = 4 THEN 'Autumn ' + CAST(ts.ts_year AS char(4)) END ,Program = RTRIM(CASE WHEN dc.dept_abbr LIKE 'B %' THEN SUBSTRING(dc.dept_abbr,3,6) ELSE dc.dept_abbr END) ,Program_full_name = RTRIM(dc.dept_full_nm) ,ts.dept_abbrev ,ts.course_no ,ts.section_id ,ts.sln ,ts.l_e_enroll as class_limit ,ts.current_enroll ,ts.space_available ,ts.course_title ,sci.fac_name ,ts.students_denied ,ts.starting_time ,ts.day_of_week ,ts.ending_time ,ts.pm_flag FROM UWSDBDataStore.sec.time_schedule ts INNER JOIN UWSDBDataStore.sec.sr_curric_code scc ON scc.curric_abbr = ts.dept_abbrev AND scc.curric_last_yr *10 + scc.curric_last_qtr =(SELECT MAX(scc1.curric_last_yr *10 + scc1.curric_last_qtr) FROM UWSDBDataStore.sec.sr_curric_code scc1 WHERE scc1.curric_abbr = ts.dept_abbrev) INNER JOIN UWSDBDataStore.sec.sr_dept_code dc ON scc.curric_dept = dc.dept_code LEFT JOIN UWSDBDataStore.sec.sr_course_instr sci ON ts.ts_year = sci.fac_yr AND ts.ts_quarter = sci.fac_qtr AND ts.dept_abbrev = sci.fac_curric_abbr AND ts.course_no = sci.fac_course_no AND ts.course_branch = sci.fac_branch AND ts.section_id = sci.fac_sect_id WHERE CAST(ts.ts_year AS char(4)) + CAST(ts.ts_quarter AS char(1)) IN (@yrqtr) AND ts.course_branch=1 AND ts.delete_flag <> '@' AND ts.dept_abbrev IN(@curric) AND ts.course_no IN(@crsno) ORDER BY ts.dept_abbrev ,ts.course_no ,ts.section_id",EDWAdminMart,No
Report,How Many Students List,8/3/2027,8/5/2016,University Registrar and Chief Officer of Enrollment Information Services,"Gordon Moll, Ann Wunderlin","Creates a count and roster of students registered on Census Day of the specified quarter, sorted by major within the specified department. Excluded from these counts are foreign study students, on leave students, and students who register for the first time after Census Day for that quarter. Required parameters are year, quarter, college, and department.",Financial Resources,Enrollment Information Services,"WITH --CTE 1 Cohort(syskey,cohort_yrqtr) AS ( SELECT smm0.mm_system_key ,MIN(smm0.mm_year * 10 + smm0.mm_qtr) FROM UWSDBDataStore.sec.sr_mini_master smm0 INNER JOIN UWSDBDataStore.sec.sr_mini_master_deg_program smmdp0 ON smm0.mm_year = smmdp0.mm_year AND smm0.mm_qtr = smmdp0.mm_qtr AND smm0.mm_proc_ind = smmdp0.mm_proc_ind AND smm0.mm_student_no = smmdp0.mm_student_no AND smmdp0.index1 =1 AND smmdp0.mm_branch =1 WHERE smmdp0.mm_major_abbr = 'B PRE' AND smm0.mm_proc_ind = 2 AND ((smm0.mm_year <1998 AND smm0.mm_curr_credits >0) OR (smm0.mm_sea_st_funded+smm0.mm_sea_self_sus+smm0.mm_bot_st_funded+smm0.mm_bot_self_sus+smm0.mm_tac_st_funded+smm0.mm_tac_self_sus >0)) GROUP BY smm0.mm_system_key ) --CTE 2 ,First_CUSP_yrqtr(syskey, CUSP_cohort_yrqtr, Cohort_Type) AS ( SELECT c.syskey ,c.cohort_yrqtr ,CASE WHEN smm00.mm_last_schl_type = 1 THEN 'Freshmen' WHEN smm00.mm_last_schl_type IN(2,3) THEN 'Transfer' ELSE 'Error' END FROM Cohort c INNER JOIN UWSDBDataStore.sec.sr_mini_master smm00 ON c.syskey = smm00.mm_system_key AND c.cohort_yrqtr = (smm00.mm_year * 10 + smm00.mm_qtr) AND smm00.mm_proc_ind = 2 --WHERE c.cohort_yrqtr IN(@cohort) --add this line back in if you want to restrict what cohorts you want to look at ) --CTE 3 ,Last_CUSP_yrqtr(syskey, Last_CUSP_yrqtr) AS ( SELECT smm1.mm_system_key ,MAX(smm1.mm_year * 10 + smm1.mm_qtr) FROM UWSDBDataStore.sec.sr_mini_master smm1 INNER JOIN UWSDBDataStore.sec.sr_mini_master_deg_program smmdp1 ON smm1.mm_year = smmdp1.mm_year AND smm1.mm_qtr = smmdp1.mm_qtr AND smm1.mm_proc_ind = smmdp1.mm_proc_ind AND smm1.mm_student_no = smmdp1.mm_student_no AND smmdp1.index1 =1 AND smmdp1.mm_branch =1 WHERE smmdp1.mm_major_abbr = 'B PRE' AND smm1.mm_proc_ind = 2 AND ((smm1.mm_year <1998 AND smm1.mm_curr_credits >0) OR (smm1.mm_sea_st_funded+smm1.mm_sea_self_sus+smm1.mm_bot_st_funded+smm1.mm_bot_self_sus+smm1.mm_tac_st_funded+smm1.mm_tac_self_sus >0)) GROUP BY smm1.mm_system_key ) --CTE 4 ,First_major_yrqtr(syskey, First_major_yrqtr --,Program,Major ) AS ( SELECT smm2.mm_system_key ,MIN(smm2.mm_year * 10 + smm2.mm_qtr) AS First_major_yrqtr --,dc2.dept_abbr --,smmdp2.mm_major_abbr FROM UWSDBDataStore.sec.sr_mini_master smm2 INNER JOIN UWSDBDataStore.sec.sr_mini_master_deg_program smmdp2 ON smm2.mm_year = smmdp2.mm_year AND smm2.mm_qtr = smmdp2.mm_qtr AND smm2.mm_proc_ind = smmdp2.mm_proc_ind AND smm2.mm_student_no = smmdp2.mm_student_no AND smmdp2.mm_branch =1 INNER JOIN UWSDBDataStore.sec.sr_major_code mc2 ON smmdp2.mm_major_abbr = mc2.major_abbr AND smmdp2.mm_pathway = mc2.major_pathway AND mc2.major_last_yr IN(SELECT MAX(mc2a.major_last_yr) FROM UWSDBDataStore.sec.Sr_major_code mc2a WHERE smmdp2.mm_major_abbr = mc2a.major_abbr AND smmdp2.mm_pathway = mc2a.major_pathway) INNER JOIN UWSDBDataStore.sec.Sr_dept_code dc2 ON mc2.major_dept = dc2.dept_code AND mc2.major_branch = dc2.dept_branch WHERE smm2.mm_proc_ind = 2 AND smmdp2.mm_deg_level <2 AND ((smm2.mm_year <1998 AND smm2.mm_curr_credits >0) OR (smm2.mm_sea_st_funded+smm2.mm_sea_self_sus+smm2.mm_bot_st_funded+smm2.mm_bot_self_sus+smm2.mm_tac_st_funded+smm2.mm_tac_self_sus >0)) AND mc2.major_dept NOT IN(864,866,883,1032) GROUP BY smm2.mm_system_key ) ------------------------------------ SELECT DISTINCT cusp.syskey ,cohort.Cohort_Type ,cohort = cohort.CUSP_cohort_yrqtr ,cohort_acadyr = CASE WHEN RIGHT(cohort.CUSP_cohort_yrqtr,1) IN (3,4) THEN CONVERT(char(4),LEFT(cohort.CUSP_cohort_yrqtr,4)) + '-' + CONVERT(char(4),LEFT(cohort.CUSP_cohort_yrqtr,4)+1) WHEN RIGHT(cohort.CUSP_cohort_yrqtr,1) IN (1,2) THEN CONVERT(char(4),LEFT(cohort.CUSP_cohort_yrqtr,4)-1) + '-' + CONVERT(char(4),LEFT(cohort.CUSP_cohort_yrqtr,4)) ELSE 'Error' END ,qtr = CASE WHEN smm.mm_qtr = 1 THEN 'Winter ' WHEN smm.mm_qtr = 2 THEN 'Spring ' WHEN smm.mm_qtr = 3 THEN 'Summer ' WHEN smm.mm_qtr = 4 THEN 'Autumn ' ELSE 'ERROR' END + CONVERT(char(4), smm.mm_year) ,cusp.Last_CUSP_yrqtr ,major.First_major_yrqtr ,Program = dc.dept_full_nm ,dc.dept_abbr ,Major = major_full_nm ,mc.major_abbr ,mc.major_pathway FROM First_CUSP_yrqtr cohort INNER JOIN Last_CUSP_yrqtr cusp ON cohort.syskey = cusp.syskey INNER JOIN First_major_yrqtr major ON cusp.syskey = major.syskey AND cusp.Last_CUSP_yrqtr < major.First_major_yrqtr INNER JOIN UWSDBDataStore.sec.sr_mini_master smm ON major.syskey = smm.mm_system_key AND major.First_major_yrqtr = smm.mm_year * 10 + smm.mm_qtr INNER JOIN UWSDBDataStore.sec.sr_mini_master_deg_program smmdp ON smm.mm_year = smmdp.mm_year AND smm.mm_qtr = smmdp.mm_qtr AND smm.mm_proc_ind = smmdp.mm_proc_ind AND smm.mm_student_no = smmdp.mm_student_no AND smmdp.mm_branch =1 INNER JOIN UWSDBDataStore.sec.sr_major_code mc ON smmdp.mm_major_abbr = mc.major_abbr AND smmdp.mm_pathway = mc.major_pathway AND mc.major_last_yr IN(SELECT MAX(mc1.major_last_yr) FROM UWSDBDataStore.sec.Sr_major_code mc1 WHERE smmdp.mm_major_abbr = mc1.major_abbr AND smmdp.mm_pathway",EDWAdminMart,No
Report,Student Class List,9/6/2001,9/7/2021,University Registrar and Chief Officer of Enrollment Information Services,"Randy Byers, Ann Wunderlin","For the selected year/quarter, this list displays students who are either registered for or have withdrawn from the course/section. Information on this list is sortable by clicking on the column heading. The information in the report is up to 24 hours old and is typically refreshed nightly.",Financial Resources,Enrollment Information Services,"SELECT ts.ts_year ,ts.ts_quarter ,d.dept_full_nm ,ts.dept_abbrev ,ts.course_no ,ts.section_id ,ts.sln ,ts.l_e_enroll as class_limit ,ts.current_enroll ,ts.space_available ,ts.course_title ,sci.fac_name FROM sec.time_schedule ts INNER JOIN sec.sr_curric_code scc ON scc.curric_abbr = ts.dept_abbrev AND scc.curric_last_yr *10 + scc.curric_last_qtr =(SELECT MAX(scc1.curric_last_yr *10 + scc1.curric_last_qtr) FROM sec.sr_curric_code scc1 WHERE scc1.curric_abbr = ts.dept_abbrev) INNER JOIN sec.sr_dept_code d ON scc.curric_dept = d.dept_code LEFT JOIN sec.sr_course_instr sci ON ts.ts_year = sci.fac_yr AND ts.ts_quarter = sci.fac_qtr AND ts.dept_abbrev = sci.fac_curric_abbr AND ts.course_no = sci.fac_course_no AND ts.course_branch = sci.fac_branch AND ts.section_id = sci.fac_sect_id WHERE ts.ts_year=@year AND ts.ts_quarter=@Quarter AND ts.course_branch=1 AND ts.delete_flag <> '@' ORDER BY d.dept_full_nm ,ts.dept_abbrev ,ts.course_no ,ts.section_id",EDWAdminMart,No
Report,Undergraduate Degree Applicants,9/7/2017,9/9/2005,University Registrar and Chief Officer of Enrollment Information Services,"Andrew Hummel-Schluger, Ann Wunderlin",Creates a roster of undergraduate students within a selected department who have filed a graduation application for an upcoming quarter. Useful for monitoring graduation applications and for creating e-mail lists to contact graduating students. Required parameters are College and Department.,Financial Resources,Enrollment Information Services,"SELECT ts.ts_year ,ts.ts_quarter ,d.dept_full_nm ,ts.dept_abbrev ,ts.course_no ,ts.section_id ,ts.sln ,ts.l_e_enroll as class_limit ,ts.current_enroll ,ts.space_available ,ts.course_title ,sci.fac_name FROM sec.time_schedule ts INNER JOIN sec.sr_curric_code scc ON scc.curric_abbr = ts.dept_abbrev AND scc.curric_last_yr *10 + scc.curric_last_qtr =(SELECT MAX(scc1.curric_last_yr *10 + scc1.curric_last_qtr) FROM sec.sr_curric_code scc1 WHERE scc1.curric_abbr = ts.dept_abbrev) INNER JOIN sec.sr_dept_code d ON scc.curric_dept = d.dept_code LEFT JOIN sec.sr_course_instr sci ON ts.ts_year = sci.fac_yr AND ts.ts_quarter = sci.fac_qtr AND ts.dept_abbrev = sci.fac_curric_abbr AND ts.course_no = sci.fac_course_no AND ts.course_branch = sci.fac_branch AND ts.section_id = sci.fac_sect_id WHERE ts.ts_year=@year AND ts.ts_quarter=@Quarter AND ts.course_branch=1 AND ts.delete_flag <> '@' ORDER BY d.dept_full_nm ,ts.dept_abbrev ,ts.course_no ,ts.section_id",EDWAdminMart,No
Report,Student Transcript Detail,9/7/2022,9/9/2010,University Registrar and Chief Officer of Enrollment Information Services,"Andrew Hummel-Schluger, Ann Wunderlin","UW transcript information for an individual student. Lists all transcript information for a student. Useful for reviewing student academic progress, displays snapshot of complete student record. Excludes transfer credits. Required parameter is student number.",Financial Resources,Enrollment Information Services,"SELECT ts.ts_year ,ts.ts_quarter ,d.dept_full_nm ,ts.dept_abbrev ,ts.course_no ,ts.section_id ,ts.sln ,ts.l_e_enroll as class_limit ,ts.current_enroll ,ts.space_available ,ts.course_title ,sci.fac_name FROM sec.time_schedule ts INNER JOIN sec.sr_curric_code scc ON scc.curric_abbr = ts.dept_abbrev AND scc.curric_last_yr *10 + scc.curric_last_qtr =(SELECT MAX(scc1.curric_last_yr *10 + scc1.curric_last_qtr) FROM sec.sr_curric_code scc1 WHERE scc1.curric_abbr = ts.dept_abbrev) INNER JOIN sec.sr_dept_code d ON scc.curric_dept = d.dept_code LEFT JOIN sec.sr_course_instr sci ON ts.ts_year = sci.fac_yr AND ts.ts_quarter = sci.fac_qtr AND ts.dept_abbrev = sci.fac_curric_abbr AND ts.course_no = sci.fac_course_no AND ts.course_branch = sci.fac_branch AND ts.section_id = sci.fac_sect_id WHERE ts.ts_year=@year AND ts.ts_quarter=@Quarter AND ts.course_branch=1 AND ts.delete_flag <> '@' ORDER BY d.dept_full_nm ,ts.dept_abbrev ,ts.course_no ,ts.section_id",EDWAdminMart,No
Report,Affixed Payment Detail,9/9/2022,9/11/2011,Todd Mildon,Jeff Petersen & Colin Sachs,"Displays detailed charge information (i.e., amount charged, affixed, exempted and unpaid) by student for any entered charge code or charge code range within a date range. It is most useful for reviewing charge amounts placed on student accounts as well as determining which students have an outstanding balance. (Similar to: SDB Report SA70110-R-04)",Financial Resources,Student Accounts Office,"SELECT DISTINCT v.student_name, v.student_no, a.appl_yr, Appl_Qtr = case when a.appl_qtr = 1 then 'Winter' when a.appl_qtr = 2 then 'Spring' when a.appl_qtr = 3 then 'Summer' when a.appl_qtr = 4 then 'Autumn' end, ar.req_major_abbr, mc.major_full_nm, v.num_holds, a.trans_gpa, v.tot_2yr_transfer, v.tot_4yr_transfer, v.tot_lowd_transfer, v.tot_upd_transfer, v.class, class_desc = CASE WHEN v.class = 1 THEN 'Freshman' WHEN v.class = 2 THEN 'Sophomore' WHEN v.class = 3 THEN 'Junior' WHEN v.class = 4 THEN 'Senior' WHEN v.class = 5 THEN 'Fifth Year' WHEN v.class = 6 THEN 'Non-Matric' WHEN v.class = 8 THEN 'Graduate' WHEN v.class in (11,12,13,14) THEN 'Professional' ELSE convert(char(1),v.class) END ,Appl_level = case when a.appl_type = '1' then 'FR' when a.appl_type = '2' then 'UG 2yr' when a.appl_type = '4' then 'UG 4yr' when a.appl_type = '6' OR a.appl_type = 'R' then 'UG (Returning)' when a.appl_type = '5' then '5YR' when a.appl_type = 'N'OR a.appl_type = 'P' then 'NM' when a.appl_type = '7' then 'GR (Returning)' when a.appl_type = 'G' then 'GR (Gradute)' when a.appl_type = 'E' then 'GNM' when a.appl_type = 'P' then 'PRO' else 'No Appl Type' end, Paid_Date = ( Select max(ab.trans_dt) from sec.sr_adm_stat_chg ab where appl_status_new in (15, 16) and ab.system_key = a.system_key and ab.appl_no = a.appl_no and ab.appl_yr = a.appl_yr and ab.appl_qtr = a.appl_qtr ), MailCode = CASE WHEN mlc.mail_code IN ('UW', 'PB', 'BOR') THEN mlc.mail_code ELSE 'None' END FROM sec.student_1 v inner join sec.sr_adm_appl a ON v.system_key = a.system_key INNER JOIN sec.sr_adm_appl_req_col_major ar ON a.appl_yr = ar.appl_yr and a.appl_qtr = ar.appl_qtr and a.system_key = ar.system_key and a.appl_no = ar.appl_no INNER JOIN sec.sr_major_code mc ON ar.req_major_abbr = mc.major_abbr LEFT OUTER JOIN sec.sr_adm_appl_mail_codes AS mlc ON v.system_key = mlc.system_key WHERE a.appl_yr = @year and a.appl_qtr = @Quarter and a.appl_branch = 1 and convert(char(1),a.appl_type) in ('2','4','5','R') --and (a.trans_gpa is null or a.trans_gpa = 0) and a.appl_status in (12,15,16) and v.class <> 6 and mc.major_pathway = 0",EDWAdminMart,No
Report,How Many Degrees Have I Granted,9/10/2002,9/11/2021,University Registrar and Chief Officer of Enrollment Information Services,Andrew Hummel-Schluger,Displays a graph of the count of degrees granted within a College or School for the past ten years.. Useful for trend analysis in graduation rates. Required parameter is College.,Financial Resources,Enrollment Information Services,"SELECT rau.FACILITY_CODE FacilityCode, rau.ROOM_NUMBER RoomNumber, rau.ORGANIZATION assignee_organization, rau.EMPLOYEE_ID assignee_eid, rau.functional_use_code, fuc.DESCRIPTION Functional_Use, rau.functional_use_percent FROM dbo.room_assignment_use rau LEFT JOIN dbo.functional_use_code fuc ON rau.functional_use_code = fuc.functional_use_code WHERE rau.FACILITY_CODE = @facilitycode AND rau.ROOM_NUMBER = @roomno AND rau.ORGANIZATION = @assignorg AND rau.EMPLOYEE_ID = @empid",EDWAdminMart,No
