TermTitle,TermDefinition,ReportTitle
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",100 Percent Sponsor-Funded Faculty
Has Paid Direct,"<p>Has Paid Direct (PDR) refers to faculty who have an employee type in Workday of: Regular Paid Direct or Fixed-Term Paid Direct. Faculty with this designation have base salary paid by an external entity (e.g., Veterans Administration Medical Center (VAMC), Children's Hospital Regional Medical Center (CHRMC), Fred Hutchinson Cancer Research Center (FHCRC), VASEA, or HHMI).</p>",100 Percent Sponsor-Funded Faculty
Faculty Effort Certification Cycle,<p>The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.</p>,100 Percent Sponsor-Funded Faculty
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
Organization Code Major Area Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Major Area Level
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,100 Percent Sponsor-Funded Faculty
Percent of Sponsored Funding,"<p>Represents the proportionate percentage of a UW faculty&rsquo;s Institutional Base Salary (IBS) charged and/or cost shared to an externally funded grant, contract or cooperative agreement.</p>",100 Percent Sponsor-Funded Faculty
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
Organization Code Major Area Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Major Area Level
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,Advance Budget Number Report
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",Advance Budget Number Report
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Affixed Payment Detail
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",Affixed Payment Detail
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Affixed Payment Detail
Charge Code,<p>A 10-digit code used in the student database (SDB) to identify debits and credits against a student's account.</p>,Affixed Payment Detail
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",Affixed Payment Detail
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",Affixed Payment Detail
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Aid Authorization and Disbursement by Year
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",Aid Authorization and Disbursement by Year
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Aid Authorization and Disbursement by Year
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Aid Authorized and Disbursed for Aid Year and Quarter
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",Aid Authorized and Disbursed for Aid Year and Quarter
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Aid Authorized and Disbursed for Aid Year and Quarter
Running Start,Running Start is a program that allows 11th and 12th grade students to take college courses at Washington's community and technical colleges. Students earn both high school and college credits for these courses.,All Applications
Advising Type,Advising Type is the type of advising session the student will or did attend.,All Applications
Advising Date,The date assigned for a student to attend new student orientation.<br>,All Applications
Student Immunization,"Student Immunization refers to any number of vaccinations required of a student enrolling at the University of Washington. For more information, see the UW Immunization Requirement: <a target=""_blank"" rel=""nofollow"" href=""http://immunity.washington.edu"">http://immunity.washington.edu</a>.",All Applications
ACT,"The ACT (formerly called American College Testing) is a standardized test intended to assess student readiness for college and is therefore used for college admissions in the United States. It was first introduced as a competitor to the SAT. It is currently administered by ACT, a nonprofit organization of the same name.",All Applications
SAT,"<div>
The SAT (formerly called the Scholastic Aptitude Test, later the Scholastic Assessment Test, and is now simply called SAT) is a standardized test intended to assess student readiness for college and is therefore used for college admissions. It is owned and developed by the College Board, but administered by the Educational Testing Service on behalf of the College Board.
</div>",All Applications
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",All Applications
College,"Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".",All Applications
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",All Applications
Family Educational Rights and Privacy Act,"<p>The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children's education records, the right to seek to have the records amended, and the right to consent to the disclosure of personally identifiable information from education records, except as provided by law. When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (eligible student). FERPA applies to schools that receive funds under any program administered by the Secretary of Education. Education records are records that are 1) directly related to a student; and 2) maintained by an educational agency or institution or by a party acting for the agency or institution.</p>",All Applications
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",All Applications
Preferred Name,<p>Preferred name refers to an identification that an individual wishes to use that may differ from their legal name on legal documents and/or may differ from the name that is listed on a student&rsquo,All Applications
Resident,"<p>A Student Resident of Washington state, for tuition and fee purposes, is determined according to the Washington Administrative Code (WAC) 250-18-020: <a title=""Follow link"" href=""http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020"">http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020</a></p>",All Applications
International Student,?An individual who is not a citizen or permanent resident of the U.S. and is enrolled in one or more courses at the UW.,All Applications
Student Class,"<p>Student Class is an indicator of the progress the student has made in his or her studies at a given Student Level.&nbsp;</p>  <p>At the Undergraduate Level, Student Class distinguishes between:</p>  <ul>  <li>Freshmen (students who accumulated 0 to 44.5 Academic Credits)</li>  <li>Sophomores&nbsp;(students who accumulated&nbsp;45 to 89.5&nbsp;Academic Credits)</li>  <li>Juniors&nbsp;(students who accumulated 90 to 134.5&nbsp;Academic Credits)</li>  <li>Seniors (students who accumulated more than 135 Academic Credits)</li>  <li>Non-matriculated students (those not pursuing a Baccalaureate degree)</li>  <li>Visitors (those pursuing a Baccalaureate degree at another institution)</li>  </ul>  <p>At the Post-Baccalaureate level, Student Class distinguishes visiting students from the remaining students.</p>  <p>At the Graduate level, Student Class distinguishes between:</p>  <ul>  <li>Master students</li>  <li>Educational specialist students</li>  <li>Doctoral students</li>  <li>Practice doctorate students</li>  <li>Graduate non-matriculated students</li>  <li>Visiting students</li>  </ul>  <p>Finally, at the professional level, Student Class is an indicator of a student's year in the program (1 through 4), or the student's visitor status.&nbsp;</p>",All Applications
Transfer Grade Point Average,Transfer GPA is the student's cumulative GPA as reported by the institution from which they transferred.,All Applications
Transfer Credit,Transfer Credit is credit earned at another institution that is accepted by the UW and may be applied toward a degree.<br>,All Applications
Major Requested,<p>Applicants for matriculated status may indicate their intended major of interest at the time of application.</p>,All Applications
Local Address,<p>Local Address is a postal-recognized location of a student and is used when the student is actively attending classes at the UW.</p>,All Applications
UW Student Email Address,A UW student email address is created for a student through Identity and Access Management (IAM) and Student Systems processes. The email address consists of a student-generated alias and a specific UW domain.,All Applications
External Email,"<p>A student external email consists of a user alias and any number of non-UW affiliated domains separated by an ""@"". This is different from the UW Student Email Address which uses the UW domain, @uw.edu.</p>",All Applications
Student Birth Date,"The date of birth of the student in the format of four digit year, month, and day.",All Applications
Student Ethnicity,"<p>Student Ethnicity refers to whether a student identifies as Hispanic/Latino or not. Hispanic/Latino means a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.</p>",All Applications
New Continuing Returning,This term is retired (cancelled),All Applications
Student: Visa Type,"Student: Visa Type is the information provided by a student or applicant about their current or intended U.S. immigration status. This term Student: Visa Type is different from, but includes the same values as, the Student Visa types of F1, J1, M1. The visa type can change over time; students may apply for admission with one type, begin enrollment, and have it changed to a new type. SDB does not store historic Visa Type information.",All Applications
Academic Year,"<p>Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.</p>",All Applications
Academic Quarter,"The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.&nbsp;The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.<br>",All Applications
Department,<p>?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.</p>,All Applications
Previous Institution,"The applicant's most recent academic institution, prior to the current UW campus.",All Applications
Veteran,An individual who has served in the United States Armed Forces.,All Applications
Biennium Year,The name of the biennium assigned to each day of the biennium,Biennium To Date Budget Balances
Organization Code Sub-Division Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Sub-Division Level
Organization Code Major Area Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Major Area Level
Organization Code Department Level,<p>The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The &ldquo,Department Level
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,Biennium To Date Budget Balances
