TermTitle,TermDefinition,ReportTitle,document_id
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",100 Percent Sponsor-Funded Faculty,109
Has Paid Direct,"<p>Has Paid Direct (PDR) refers to faculty who have an employee type in Workday of: Regular Paid Direct or Fixed-Term Paid Direct. Faculty with this designation have base salary paid by an external entity (e.g., Veterans Administration Medical Center (VAMC), Children's Hospital Regional Medical Center (CHRMC), Fred Hutchinson Cancer Research Center (FHCRC), VASEA, or HHMI).</p>",100 Percent Sponsor-Funded Faculty,109
Faculty Effort Certification Cycle,<p>The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.</p>,100 Percent Sponsor-Funded Faculty,109
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,100 Percent Sponsor-Funded Faculty,109
Percent of Sponsored Funding,"<p>Represents the proportionate percentage of a UW faculty&rsquo;s Institutional Base Salary (IBS) charged and/or cost shared to an externally funded grant, contract or cooperative agreement.</p>",100 Percent Sponsor-Funded Faculty,109
Organization Code Dean Level,The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.,Advance Budget Number Report,110
Organization Code,"The code that represents the University organizational structure.&nbsp;<span>When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit. <br> <br> This field is routinely sub-defined as follows:<br> <br> X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.<br> <br> X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).<br> <br> X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).<br> <br> X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included. <br> <br> X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.<br> <br> X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.</span>",Advance Budget Number Report,110
Student Number,"Student Number is a unique, numerical student identifier issued during the admission process.",Affixed Payment Detail,9
Student Name,"<p>Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.</p>",Affixed Payment Detail,9
Campus,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.",Affixed Payment Detail,9
