TermTitle,TermDefinition,ReportTitle,document_id
Organization Code::Has Paid Direct::Faculty Effort Certification Cycle::Organization Code Dean Level::Percent of Sponsored Funding,"The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.::Has Paid Direct (PDR) refers to faculty who have an employee type in Workday of: Regular Paid Direct or Fixed-Term Paid Direct. Faculty with this designation have base salary paid by an external entity (e.g., Veterans Administration Medical Center (VAMC), Children's Hospital Regional Medical Center (CHRMC), Fred Hutchinson Cancer Research Center (FHCRC), VASEA, or HHMI).::The period of time (6 months) over which faculty certify that the percent distribution of their institutional base salary (IBS) represents a reasonable reflection of their effort for that period of time.::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::Represents the proportionate percentage of a UW facultys Institutional Base Salary (IBS) charged and/or cost shared to an externally funded grant, contract or cooperative agreement.",100 Percent Sponsor-Funded Faculty,109
Organization Code Dean Level::Organization Code,"The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",Advance Budget Number Report,110
Student Number::Student Name::Campus::Charge Code::Academic Quarter::Academic Year,"Student Number is a unique, numerical student identifier issued during the admission process.::Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.::Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.::A 10-digit code used in the student database (SDB) to identify debits and credits against a student's account.::The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.::Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.",Affixed Payment Detail,9
Campus::Student Name::Student Number,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.::Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.::Student Number is a unique, numerical student identifier issued during the admission process.",Aid Authorization and Disbursement by Year,12
Campus::Student Name::Student Number,"Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.::Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.::Student Number is a unique, numerical student identifier issued during the admission process.",Aid Authorized and Disbursed for Aid Year and Quarter,87
Running Start::Advising Type::Advising Date::Student Immunization::ACT::SAT::Campus::College::Student Number::Family Educational Rights and Privacy Act::Student Name::Preferred Name::Resident::International Student::Student Class::Transfer Grade Point Average::Transfer Credit::Major Requested::Local Address::UW Student Email Address::External Email::Student Birth Date::Student Ethnicity::New Continuing Returning::Student: Visa Type::Academic Year::Academic Quarter::Department::Previous Institution::Veteran,"Running Start is a program that allows 11th and 12th grade students to take college courses at Washington's community and technical colleges. Students earn both high school and college credits for these courses.::Advising Type is the type of advising session the student will or did attend.::The date assigned for a student to attend new student orientation.::Student Immunization refers to any number of vaccinations required of a student enrolling at the University of Washington. For more information, see the UW Immunization Requirement: http://immunity.washington.edu.::The ACT (formerly called American College Testing) is a standardized test intended to assess student readiness for college and is therefore used for college admissions in the United States. It was first introduced as a competitor to the SAT. It is currently administered by ACT, a nonprofit organization of the same name.::
The SAT (formerly called the Scholastic Aptitude Test, later the Scholastic Assessment Test, and is now simply called SAT) is a standardized test intended to assess student readiness for college and is therefore used for college admissions. It is owned and developed by the College Board, but administered by the Educational Testing Service on behalf of the College Board.
::Term used to distinguish between UW Seattle, UW Bothell and UW Tacoma. UW units map to these Campuses through the Organization Code.::Conceptually, College refers to the aggregation of one or more academic departments into a broader academic organizational unit, supervised by a Dean. Functionally, College is one component of the hierarchy codified by the Organization Code; in that hierarchy, all units - including administrative ones - are grouped into ""Colleges"".::Student Number is a unique, numerical student identifier issued during the admission process.::The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children's education records, the right to seek to have the records amended, and the right to consent to the disclosure of personally identifiable information from education records, except as provided by law. When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (eligible student). FERPA applies to schools that receive funds under any program administered by the Secretary of Education. Education records are records that are 1) directly related to a student; and 2) maintained by an educational agency or institution or by a party acting for the agency or institution.::Student Name is an identifier captured during the application process using MyGrad, on-line application for undergraduates, or paper applications. This name is considered the name of record.::Preferred name refers to an identification that an individual wishes to use that may differ from their legal name on legal documents and/or may differ from the name that is listed on a student&rsquo::A Student Resident of Washington state, for tuition and fee purposes, is determined according to the Washington Administrative Code (WAC) 250-18-020: http://apps.leg.wa.gov/WAC/default.aspx?cite=250-18-020::?An individual who is not a citizen or permanent resident of the U.S. and is enrolled in one or more courses at the UW.::Student Class is an indicator of the progress the student has made in his or her studies at a given Student Level.  At the Undergraduate Level, Student Class distinguishes between:    Freshmen (students who accumulated 0 to 44.5 Academic Credits)  Sophomores(students who accumulated45 to 89.5Academic Credits)  Juniors(students who accumulated 90 to 134.5Academic Credits)  Seniors (students who accumulated more than 135 Academic Credits)  Non-matriculated students (those not pursuing a Baccalaureate degree)  Visitors (those pursuing a Baccalaureate degree at another institution)    At the Post-Baccalaureate level, Student Class distinguishes visiting students from the remaining students.  At the Graduate level, Student Class distinguishes between:    Master students  Educational specialist students  Doctoral students  Practice doctorate students  Graduate non-matriculated students  Visiting students    Finally, at the professional level, Student Class is an indicator of a student's year in the program (1 through 4), or the student's visitor status.::Transfer GPA is the student's cumulative GPA as reported by the institution from which they transferred.::Transfer Credit is credit earned at another institution that is accepted by the UW and may be applied toward a degree.::Applicants for matriculated status may indicate their intended major of interest at the time of application.::Local Address is a postal-recognized location of a student and is used when the student is actively attending classes at the UW.::A UW student email address is created for a student through Identity and Access Management (IAM) and Student Systems processes. The email address consists of a student-generated alias and a specific UW domain.::A student external email consists of a user alias and any number of non-UW affiliated domains separated by an ""@"". This is different from the UW Student Email Address which uses the UW domain, @uw.edu.::The date of birth of the student in the format of four digit year, month, and day.::Student Ethnicity refers to whether a student identifies as Hispanic/Latino or not. Hispanic/Latino means a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.::This term is retired (cancelled)::Student: Visa Type is the information provided by a student or applicant about their current or intended U.S. immigration status. This term Student: Visa Type is different from, but includes the same values as, the Student Visa types of F1, J1, M1. The visa type can change over time; students may apply for admission with one type, begin enrollment, and have it changed to a new type. SDB does not store historic Visa Type information.::Academic Year begins with the Summer quarter and includes the following Fall, Winter and Spring quarters. Example: Academic Year 2002-03 is Summer 2002, Fall 2002, Winter 2003 and Spring 2003.::The University of Washington operates on the quarter system. Within an Academic Year, the sequence of Academic Quarters is: Summer, Fall, Winter, Spring.The Academic Calendar specifies the? schedule of the Academic Quarters within a given year.::?An organizational unit at the University of Washington. Departments are identified by a unique Organization Code at the seven-digit level.::The applicant's most recent academic institution, prior to the current UW campus.::An individual who has served in the United States Armed Forces.",All Applications,146
Biennium Year::Organization Code Dean Level::Organization Code,"The name of the biennium assigned to each day of the biennium::The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",Biennium To Date Budget Balances,147
Organization Code Dean Level::Organization Code::Account Code,"The UW financial org code is the structure used in the UW financial system to define different levels of the University. It is managed in the Financial Accounting System (FAS). The �Dean Level� refers to the first 3 digits of a 10 digit organization code.::The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.::Account Code is a coding structure which assigns a number to different types of financial accounts. Also known as Object Code and Revenue Code. This is a reference to a number structure (000001-999999) that has been segmented into ranges and each range assigned as the valid values for a specific financial coding structure or data element. In other words, ""Account Code"" is a general term usually referring to a General Ledger Account Number, an Object of Expenditure Code (Object Code), or a Revenue Code (and as referenced on the 03 Account Code index of the FIN Data Base, the Account Code field can also refer to a Fund Code). The value of the Account Code determines which coding structure it references (Fund, G/L, Expenditure or Revenue). Each coding structure is further defined with its own Data Element reference. The Financial Accounting office maintains an Object Code table available on the web at http://www.washington.edu/admin/finacct/obcodes",Budget Summary by OrgCode,41
Budget Super Class::Budget Family::Budget Community::Budget Category,"Budget Super Class is the third tier in the budget Type/Class classification system comprised of four hierarchical levels of budgets (Community > Family > Super Class > Type/Class) and maintained by the Office of Planning and Budgeting.::Budget Family is the second tier in the budget Type/Class classification system comprised of four hierarchical levels of budgets (Community > Family > Super Class > Type/Class) and maintained by the Office of Planning and Budgeting.::Budget Community is the highest tier in the budget Type/Class classification system comprised of four hierarchical levels of budgets (Community > Family > Super Class > Type/Class) and maintained by the Office of Planning and Budgeting. There are four Budget Communities:  General Operating Funds (GOF), Designated Operating Funds (DOF),  Restricted Operating Funds (ROF) and Other Operating Funds (OOF).::A system of grouping budgets for financial reporting that utilizes the Budget Type Class Matrix that is maintained by the Office of Planning an Budgeting.",Budget Type Class Matrix,50
Organization Code,"The code that represents the University organizational structure.When referenced on the Budget Index (the 02 Index), Organization Code relates a Budget Number to an organizational unit.   This field is routinely sub-defined as follows:  X(1) President's Level (organ_pres) - A broad grouping of units according to top administrative areas of responsibility or major class of programs.  X(2) Dean/Vice President's Level (organ_dean) - Major organizational divisions usually headed by an officer reporting to the President (colleges, schools, vice president divisions).  X(2) Major Level (organ_major_area) - Programmatic or organizational partitioning of major organizational divisions (organizational dependent).  X(2) Department Level (organ_dept) - Primary operating unit of the University, usually designated as a department in academic units and as an office in administrative units. Department level units as defined by section 12-26 of the University Handbook, interdisciplinary centers, and comparable level administrative service organizations are included.   X(2) Division Level (organ_division) - Academic sub-disciplines or sub-specialities contained within a department and functional/organizational division of large administrative/service units.  X(1) Sub-Division Level (organ_sub_division) - Specialized research, teaching or service activities, e.g., the research activities of a singe Principal Investigator; the training/research/patient care activities conducted at affiliated hospitals.",Building Summary by OrgCode,119
